Geo Point,Geo Shape,infobulle,nom,num_station,nb_bornettes,en_service,rue,mot_directeur,no,nrivoli,commune,code_insee,locations_2016
" 43.60130697376954,1.4520803044765396","{""coordinates"": [[1.45208030447654, 43.60130697376954]], ""type"": ""MultiPoint""}",23 - MONUMENT AUX COMBATTANTS Nombre bornettes : 24 adresse : 6 BD LAZARE CARNOT En service : oui,MONUMENT AUX COMBATTANTS,23,24,oui,BD LAZARE CARNOT,CARNOT (BD LAZARE CARNOT),6,3105555132,Toulouse,31555,31390
" 43.60326964997832,1.4455080837757601","{""coordinates"": [[1.44550808377576, 43.60326964997832]], ""type"": ""MultiPoint""}",3 - POMME Nombre bornettes : 19 adresse : 62 RUE DE LA POMME En service : oui,POMME,3,19,oui,RUE DE LA POMME,POMME (RUE DE LA POMME),62,3105556988,Toulouse,31555,63413
" 43.60507825200865,1.4373141330092754","{""coordinates"": [[1.437314133009275, 43.60507825200865]], ""type"": ""MultiPoint""}",29 - VALADE Nombre bornettes : 19 adresse : 31 RUE VALADE En service : oui,VALADE,29,19,oui,RUE VALADE,VALADE (RUE VALADE),31,3105558676,Toulouse,31555,46812
" 43.607603862608514,1.4413060007061607","{""coordinates"": [[1.441306000706161, 43.607603862608514]], ""type"": ""MultiPoint""}",32 - MUSEE ST RAYMOND Nombre bornettes : 12 adresse : 8 RUE DES TROIS RENARDS En service : oui,MUSEE ST RAYMOND,32,12,oui,RUE DES TROIS RENARDS,RENARDS (RUE DES TROIS RENARDS),8,3105558616,Toulouse,31555,19251
" 43.60904078161394,1.4410996711533108","{""coordinates"": [[1.441099671153311, 43.60904078161394]], ""type"": ""MultiPoint""}",55 - SAINT SERNIN -  GATIEN ARNOULT Nombre bornettes : 13 adresse : 2 RUE GATIEN ARNOULT En service : oui,SAINT SERNIN -  GATIEN ARNOULT,55,13,oui,RUE GATIEN ARNOULT,ARNOULT (RUE GATIEN ARNOULT),2,3105553780,Toulouse,31555,11928
" 43.59798992215401,1.4429118117294708","{""coordinates"": [[1.442911811729471, 43.59798992215401]], ""type"": ""MultiPoint""}",26 - DALBADE - DE GORSSE Nombre bornettes : 21 adresse : 9 RUE HENRY DE GORSSE En service : oui,DALBADE - DE GORSSE,26,21,oui,RUE HENRY DE GORSSE,GORSSE (RUE HENRY DE GORSSE),9,3105554132,Toulouse,31555,24693
" 43.59967605127942,1.4293713557623096","{""coordinates"": [[1.42937135576231, 43.59967605127942]], ""type"": ""MultiPoint""}",80 - FITTE - VARSI Nombre bornettes : 23 adresse : 89B ALL CHARLES DE FITTE En service : oui,FITTE - VARSI,80,23,oui,ALL CHARLES DE FITTE,FITTE (ALL CHARLES DE FITTE),89B,3105551920,Toulouse,31555,21704
" 43.606136317082566,1.4413506479475464","{""coordinates"": [[1.441350647947546, 43.606136317082566]], ""type"": ""MultiPoint""}",13 - LOIS -  ESQUILE Nombre bornettes : 15 adresse : 1 RUE DE L ESQUILE En service : oui,LOIS -  ESQUILE,13,15,oui,RUE DE L ESQUILE,ESQUILE (RUE DE L ESQUILE),1,3105553080,Toulouse,31555,24543
" 43.613434994007655,1.4464126267958934","{""coordinates"": [[1.446412626795893, 43.613434994007655]], ""type"": ""MultiPoint""}",59 - CONCORDE -  PRINTEMPS Nombre bornettes : 18 adresse : 61 RUE DE LA CONCORDE En service : oui,CONCORDE -  PRINTEMPS,59,18,oui,RUE DE LA CONCORDE,CONCORDE (RUE DE LA CONCORDE),61,3105552256,Toulouse,31555,22849
" 43.60418432780345,1.4454049747785203","{""coordinates"": [[1.44540497477852, 43.60418432780345]], ""type"": ""MultiPoint""}",1 - POIDS DE L'HUILE Nombre bornettes : 20 adresse : 12 RUE DU POIDS DE L HUILE En service : oui,POIDS DE L'HUILE,1,20,oui,RUE DU POIDS DE L HUILE,HUILE (RUE DU POIDS DE L HUILE),12,3105556972,Toulouse,31555,44300
" 43.6056186701453,1.4344925591176299","{""coordinates"": [[1.43449255911763, 43.6056186701453]], ""type"": ""MultiPoint""}",51 - DUPORTAL - CANAL DE BRIENNE Nombre bornettes : 18 adresse : 1 BD ARMAND DUPORTAL En service : oui,DUPORTAL - CANAL DE BRIENNE,51,18,oui,BD ARMAND DUPORTAL,DUPORTAL (BD ARMAND DUPORTAL),1,3105550492,Toulouse,31555,27068
" 43.61695976109034,1.4542674265718871","{""coordinates"": [[1.454267426571887, 43.61695976109034]], ""type"": ""MultiPoint""}",126 - ECOLE BONNEFOY Nombre bornettes : 20 adresse : 18 RUE DU FAUBOURG BONNEFOY En service : oui,ECOLE BONNEFOY,126,20,oui,RUE DU FAUBOURG BONNEFOY,BONNEFOY (RUE DU FAUBOURG BONNEFOY),18,3105553204,Toulouse,31555,26110
" 43.614227785785026,1.438043268300887","{""coordinates"": [[1.438043268300887, 43.614227785785026]], ""type"": ""MultiPoint""}",110 - SERRES -  CABANEL Nombre bornettes : 18 adresse : 16 RUE ALEXANDRE CABANEL En service : oui,SERRES -  CABANEL,110,18,oui,RUE ALEXANDRE CABANEL,CABANEL (RUE ALEXANDRE CABANEL),16,3105550148,Toulouse,31555,12388
" 43.59171909856627,1.4186301057935085","{""coordinates"": [[1.418630105793508, 43.59171909856627]], ""type"": ""MultiPoint""}",140 - EMILE MALE Nombre bornettes : 18 adresse : 4 PL EMILE MALE En service : oui,EMILE MALE,140,18,oui,PL EMILE MALE,MALE (PL EMILE MALE),4,3105552988,Toulouse,31555,23258
" 43.58167217373506,1.413635754695333","{""coordinates"": [[1.413635754695333, 43.58167217373506]], ""type"": ""MultiPoint""}",143 - DESBALS SAINTONGE Nombre bornettes : 20 adresse : 145 RUE HENRI DESBALS En service : oui,DESBALS SAINTONGE,143,20,oui,RUE HENRI DESBALS,DESBALS (RUE HENRI DESBALS),145,3105554140,Toulouse,31555,4457
" 43.615972635822985,1.4216112947922137","{""coordinates"": [[1.421611294792214, 43.615972635822985]], ""type"": ""MultiPoint""}",144 - SUISSE LAUSANNE Nombre bornettes : 20 adresse : 62 BD DE SUISSE En service : oui,SUISSE LAUSANNE,144,20,oui,BD DE SUISSE,SUISSE (BD DE SUISSE),62,3105558336,Toulouse,31555,13130
" 43.58992902675633,1.441761110275804","{""coordinates"": [[1.441761110275804, 43.58992902675633]], ""type"": ""MultiPoint""}",154 - HOTEL DE REGION Nombre bornettes : 20 adresse : 4 RUE DES GALLOIS En service : oui,HOTEL DE REGION,154,20,oui,RUE DES GALLOIS,GALLOIS (RUE DES GALLOIS),4,3105553688,Toulouse,31555,16507
" 43.58291643555796,1.4485962627908864","{""coordinates"": [[1.448596262790886, 43.58291643555796]], ""type"": ""MultiPoint""}",157 - URSS RECOLLETS Nombre bornettes : 18 adresse : 16B AV DE L URSS En service : oui,URSS RECOLLETS,157,18,oui,AV DE L URSS,URSS (AV DE L URSS),16B,3105558660,Toulouse,31555,10628
" 43.58157246975896,1.4624201759885416","{""coordinates"": [[1.462420175988542, 43.58157246975896]], ""type"": ""MultiPoint""}",163 - BEDOUCE CANAL DU MIDI Nombre bornettes : 20 adresse : 115 AV ALBERT BEDOUCE En service : oui,BEDOUCE CANAL DU MIDI,163,20,oui,AV ALBERT BEDOUCE,BEDOUCE (AV ALBERT BEDOUCE),115,3105550112,Toulouse,31555,12826
" 43.576865801048505,1.4601361685832972","{""coordinates"": [[1.460136168583297, 43.576865801048505]], ""type"": ""MultiPoint""}",165 - AVIONS LIBELLULES Nombre bornettes : 15 adresse : 35 AV DES AVIONS En service : oui,AVIONS LIBELLULES,165,15,oui,AV DES AVIONS,AVIONS (AV DES AVIONS),35,3105550732,Toulouse,31555,3010
" 43.62658653477858,1.4587742473841019","{""coordinates"": [[1.458774247384102, 43.62658653477858]], ""type"": ""MultiPoint""}",168 - BILA Nombre bornettes : 15 adresse : 1 PL BILA En service : oui,BILA,168,15,oui,PL BILA,BILA (PL BILA),1,3105551168,Toulouse,31555,5812
" 43.636920633987685,1.4526780553887346","{""coordinates"": [[1.452678055388735, 43.636920633987685]], ""type"": ""MultiPoint""}",174 - BOURGES MAUNOURY MELAT Nombre bornettes : 20 adresse : 41 AV MAURICE BOURGES MAUNOURY En service : oui,BOURGES MAUNOURY MELAT,174,20,oui,AV MAURICE BOURGES MAUNOURY,MAUNOURY (AV MAURICE BOURGES MAUNOURY),41,3105555789,Toulouse,31555,3169
" 43.592964433017094,1.4453059471911875","{""coordinates"": [[1.445305947191188, 43.592964433017094]], ""type"": ""MultiPoint""}",68 - METRO PALAIS DE JUSTICE Nombre bornettes : 18 adresse : 3 ALL JULES GUESDE En service : oui,METRO PALAIS DE JUSTICE,68,18,oui,ALL JULES GUESDE,GUESDE (ALL JULES GUESDE),3,3105554812,Toulouse,31555,53852
" 43.591489427811844,1.4700171140881817","{""coordinates"": [[1.470017114088182, 43.591489427811844]], ""type"": ""MultiPoint""}",199 - DELTOUR RIEUX Nombre bornettes : 20 adresse : 4 BD DELTOUR En service : oui,DELTOUR RIEUX,199,20,oui,BD DELTOUR,DELTOUR (BD DELTOUR),4,3105552580,Toulouse,31555,3408
" 43.5816739003964,1.4758536247456515","{""coordinates"": [[1.475853624745652, 43.5816739003964]], ""type"": ""MultiPoint""}",202 - SAINT EXUPERY ECOLE COURREGE Nombre bornettes : 17 adresse : 165 AV ANTOINE DE ST EXUPERY En service : oui,SAINT EXUPERY ECOLE COURREGE,202,17,oui,AV ANTOINE DE ST EXUPERY,EXUPERY (AV ANTOINE DE ST EXUPERY),165,3105557772,Toulouse,31555,2853
" 43.58354332226372,1.4700607548463518","{""coordinates"": [[1.470060754846352, 43.58354332226372]], ""type"": ""MultiPoint""}",203 - PETIT PRINCE SAINT EXUPERY Nombre bornettes : 20 adresse : 2 AV DU PETIT PRINCE En service : oui,PETIT PRINCE SAINT EXUPERY,203,20,oui,AV DU PETIT PRINCE,PRINCE (AV DU PETIT PRINCE),2,3105556790,Toulouse,31555,8084
" 43.58685802415613,1.4631843593457772","{""coordinates"": [[1.463184359345777, 43.58685802415613]], ""type"": ""MultiPoint""}",204 - PL ROGER ARNAUD Nombre bornettes : 18 adresse : 1 PL ROGER ARNAUD En service : oui,PL ROGER ARNAUD,204,18,oui,PL ROGER ARNAUD,ARNAUD (PL ROGER ARNAUD),1,3105557568,Toulouse,31555,15185
" 43.58335490556918,1.4819481791187388","{""coordinates"": [[1.481948179118739, 43.58335490556918]], ""type"": ""MultiPoint""}",207 - CHRIST ROI Nombre bornettes : 17 adresse : 25 RUE DE L AUDE En service : oui,CHRIST ROI,207,17,oui,RUE DE L AUDE,AUDE (RUE DE L AUDE),25,3105550616,Toulouse,31555,655
" 43.623824124925335,1.4759397558737375","{""coordinates"": [[1.475939755873737, 43.623824124925335]], ""type"": ""MultiPoint""}",215 - METRO ARGOULETS Nombre bornettes : 20 adresse : 8 RUE DE GAILLAC En service : oui,METRO ARGOULETS,215,20,oui,RUE DE GAILLAC,GAILLAC (RUE DE GAILLAC),8,3105553668,Toulouse,31555,7379
" 43.60416194231938,1.407264606636008","{""coordinates"": [[1.407264606636008, 43.60416194231938]], ""type"": ""MultiPoint""}",226 - FONTAINES CASSELARDIT Nombre bornettes : 17 adresse : 292 RUE DES FONTAINES En service : oui,FONTAINES CASSELARDIT,226,17,oui,RUE DES FONTAINES,FONTAINES (RUE DES FONTAINES),292,3105553380,Toulouse,31555,9078
" 43.56735438979347,1.4677836153555828","{""coordinates"": [[1.467783615355583, 43.56735438979347]], ""type"": ""MultiPoint""}",230 - RANGUEIL TRIPODE B Nombre bornettes : 20 adresse : 141 AV DE RANGUEIL En service : oui,RANGUEIL TRIPODE B,230,20,oui,AV DE RANGUEIL,RANGUEIL (AV DE RANGUEIL),141,3105557268,Toulouse,31555,11427
" 43.579336999926696,1.4730825256546074","{""coordinates"": [[1.473082525654607, 43.579336999926696]], ""type"": ""MultiPoint""}",238 - BUTTE HERBETTES Nombre bornettes : 17 adresse : 50 CHE DE LA BUTTE En service : oui,BUTTE HERBETTES,238,17,oui,CHE DE LA BUTTE,BUTTE (CHE DE LA BUTTE),50,3105551468,Toulouse,31555,2654
" 43.63272224639691,1.4317488830260523","{""coordinates"": [[1.431748883026052, 43.63272224639691]], ""type"": ""MultiPoint""}",243 - ETATS UNIS FERRY Nombre bornettes : 18 adresse : 96 AV DES ETATS UNIS En service : oui,ETATS UNIS FERRY,243,18,oui,AV DES ETATS UNIS,UNIS (AV DES ETATS UNIS),96,3105553104,Toulouse,31555,3459
" 43.566478296736996,1.4752688693036666","{""coordinates"": [[1.475268869303667, 43.566478296736996]], ""type"": ""MultiPoint""}",224 - BELIN SUP AERO Nombre bornettes : 20 adresse : 10 AV EDOUARD BELIN En service : oui,BELIN SUP AERO,224,20,oui,AV EDOUARD BELIN,BELIN (AV EDOUARD BELIN),10,3105552894,Toulouse,31555,6254
" 43.611543735676825,1.414538219661377","{""coordinates"": [[1.414538219661377, 43.611543735676825]], ""type"": ""MultiPoint""}",131 - BERNIES POSTE Nombre bornettes : 18 adresse : 15 RTE DE BLAGNAC En service : oui,BERNIES POSTE,131,18,oui,RTE DE BLAGNAC,BLAGNAC (RTE DE BLAGNAC),15,3105551180,Toulouse,31555,9070
" 43.64495995364993,1.433795957304996","{""coordinates"": [[1.433795957304996, 43.64495995364993]], ""type"": ""MultiPoint""}",260 - DUCLOS Nombre bornettes : 18 adresse :  RUE LEONCE DUCLOS En service : oui,DUCLOS,260,18,oui,RUE LEONCE DUCLOS,DUCLOS (RUE LEONCE DUCLOS),,,Toulouse,31555,1929
" 43.59643575219872,1.4839754223612966","{""coordinates"": [[1.483975422361297, 43.59643575219872]], ""type"": ""MultiPoint""}",256 - ROTONDE Nombre bornettes : 0 adresse :  AV DE CASTRES En service : oui,ROTONDE,256,0,oui,AV DE CASTRES,CASTRES (AV DE CASTRES),,,Toulouse,31555,1254
" 43.57390788956854,1.4485524006761905","{""coordinates"": [[1.448552400676191, 43.57390788956854]], ""type"": ""MultiPoint""}",280 - CHARBONNIÈRE Nombre bornettes : 0 adresse :  RUE DE LA CHARBONNIERE En service : oui,CHARBONNIÈRE,280,0,oui,RUE DE LA CHARBONNIERE,CHARBONNIERE (RUE DE LA CHARBONNIERE),,,Toulouse,31555,7083
" 43.57873623622179,1.4467475124028994","{""coordinates"": [[1.446747512402899, 43.57873623622179]], ""type"": ""MultiPoint""}",281 - NIEL Nombre bornettes : 0 adresse :  RUE SAINT ROCH En service : oui,NIEL,281,0,oui,RUE SAINT ROCH,ROCH (RUE SAINT ROCH),,,Toulouse,31555,9624
" 43.57369439838396,1.413988101976132","{""coordinates"": [[1.413988101976132, 43.57369439838396]], ""type"": ""MultiPoint""}",266 - TOURAINE Nombre bornettes : 0 adresse :  RUE DE LA TOURAINE En service : oui,TOURAINE,266,0,oui,RUE DE LA TOURAINE,TOURAINE (RUE DE LA TOURAINE),,,Toulouse,31555,2324
" 43.58544179915101,1.377265720307528","{""coordinates"": [[1.377265720307528, 43.58544179915101]], ""type"": ""MultiPoint""}",277 - ZAMENHOF Nombre bornettes : 0 adresse :  ALL DU DR LEJZER L ZAMENHOF En service : oui,ZAMENHOF,277,0,oui,ALL DU DR LEJZER L ZAMENHOF,ZAMENHOF (ALL DU DR LEJZER L ZAMENHOF),,,Toulouse,31555,1275
" 43.59904509316443,1.4403989200576075","{""coordinates"": [[1.440398920057608, 43.59904509316443]], ""type"": ""MultiPoint""}",27 - QUAI DE TOUNIS Nombre bornettes : 22 adresse : 122B QU DE TOUNIS En service : oui,QUAI DE TOUNIS,27,22,oui,QU DE TOUNIS,TOUNIS (QU DE TOUNIS),122B,3105558520,Toulouse,31555,17311
" 43.59952262539103,1.445472504499364","{""coordinates"": [[1.445472504499364, 43.59952262539103]], ""type"": ""MultiPoint""}",25 - PLACE ROUAIX Nombre bornettes : 17 adresse : 1 RUE DES TOURNEURS En service : oui,PLACE ROUAIX,25,17,oui,RUE DES TOURNEURS,TOURNEURS (RUE DES TOURNEURS),1,3105558536,Toulouse,31555,42992
" 43.60163092959263,1.4560813392249272","{""coordinates"": [[1.456081339224927, 43.60163092959263]], ""type"": ""MultiPoint""}",42 - DAURIAC - ESCANDE Nombre bornettes : 23 adresse : 3 BD PR LEOPOLD ESCANDE En service : oui,DAURIAC - ESCANDE,42,23,oui,BD PR LEOPOLD ESCANDE,ESCANDE (BD PR LEOPOLD ESCANDE),3,3105557151,Toulouse,31555,13160
" 43.592660825466815,1.4431472070944193","{""coordinates"": [[1.443147207094419, 43.592660825466815]], ""type"": ""MultiPoint""}",69 - FEUGA Nombre bornettes : 20 adresse : 11 ALL PAUL FEUGA En service : oui,FEUGA,69,20,oui,ALL PAUL FEUGA,FEUGA (ALL PAUL FEUGA),11,3105556620,Toulouse,31555,15693
" 43.59628578772598,1.4471290911919945","{""coordinates"": [[1.447129091191995, 43.59628578772598]], ""type"": ""MultiPoint""}",45 - OZENNE - NAZARETH Nombre bornettes : 19 adresse : 10 RUE THEODORE OZENNE En service : oui,OZENNE - NAZARETH,45,19,oui,RUE THEODORE OZENNE,OZENNE (RUE THEODORE OZENNE),10,3105556448,Toulouse,31555,25064
" 43.6092360367761,1.4320171728851596","{""coordinates"": [[1.43201717288516, 43.6092360367761]], ""type"": ""MultiPoint""}",87 - LASCROSSES -  LECLERC Nombre bornettes : 26 adresse : 47 BD LASCROSSES En service : oui,LASCROSSES -  LECLERC,87,26,oui,BD LASCROSSES,LASCROSSES (BD LASCROSSES),47,3105555080,Toulouse,31555,24804
" 43.60687554472548,1.4307206328281217","{""coordinates"": [[1.430720632828122, 43.60687554472548]], ""type"": ""MultiPoint""}",85 - LECLERC -  BARCELONE Nombre bornettes : 20 adresse : 2 BD DU MARECHAL LECLERC En service : oui,LECLERC -  BARCELONE,85,20,oui,BD DU MARECHAL LECLERC,LECLERC (BD DU MARECHAL LECLERC),2,3105555656,Toulouse,31555,32145
" 43.605819066510904,1.4528355993451738","{""coordinates"": [[1.452835599345174, 43.605819066510904]], ""type"": ""MultiPoint""}",39 - PLACE DE DAMLOUP Nombre bornettes : 19 adresse : 2 PL DE DAMLOUP En service : oui,PLACE DE DAMLOUP,39,19,oui,PL DE DAMLOUP,DAMLOUP (PL DE DAMLOUP),2,3105552480,Toulouse,31555,25408
" 43.608686488291546,1.4394480894786024","{""coordinates"": [[1.439448089478602, 43.608686488291546]], ""type"": ""MultiPoint""}",54 - CHAINE Nombre bornettes : 18 adresse : 10 RUE DE LA CHAINE En service : oui,CHAINE,54,18,oui,RUE DE LA CHAINE,CHAINE (RUE DE LA CHAINE),10,3105551844,Toulouse,31555,15522
" 43.60629171253813,1.4482291525432185","{""coordinates"": [[1.448229152543218, 43.60629171253813]], ""type"": ""MultiPoint""}",18 - STRASBOURG - JAURES Nombre bornettes : 24 adresse : 4 BD DE STRASBOURG En service : oui,STRASBOURG - JAURES,18,24,oui,BD DE STRASBOURG,STRASBOURG (BD DE STRASBOURG),4,3105558328,Toulouse,31555,40602
" 43.609596055990096,1.4460878230204013","{""coordinates"": [[1.446087823020401, 43.609596055990096]], ""type"": ""MultiPoint""}",34 - SAINT LAZARE Nombre bornettes : 17 adresse : 2 PETITE-RUE SAINT LAZARE En service : oui,SAINT LAZARE,34,17,oui,PETITE-RUE SAINT LAZARE,LAZARE (PETITE-RUE SAINT LAZARE),2,3105557876,Toulouse,31555,25102
" 43.58763878383554,1.4598495051968858","{""coordinates"": [[1.459849505196886, 43.58763878383554]], ""type"": ""MultiPoint""}",98 - PONT DES DEMOISELLES Nombre bornettes : 20 adresse : 80 ALL DES DEMOISELLES En service : oui,PONT DES DEMOISELLES,98,20,oui,ALL DES DEMOISELLES,DEMOISELLES (ALL DES DEMOISELLES),80,3105552584,Toulouse,31555,24582
" 43.603214498605915,1.4481293501875598","{""coordinates"": [[1.44812935018756, 43.603214498605915]], ""type"": ""MultiPoint""}",8 - ESPACE SAINT GEORGES Nombre bornettes : 24 adresse : 19 RUE PAUL VIDAL En service : oui,ESPACE SAINT GEORGES,8,24,oui,RUE PAUL VIDAL,VIDAL (RUE PAUL VIDAL),19,3105556660,Toulouse,31555,26973
" 43.59513943132659,1.4325453705565607","{""coordinates"": [[1.432545370556561, 43.59513943132659]], ""type"": ""MultiPoint""}",72 - FITTE -  CUGNAUX Nombre bornettes : 18 adresse : 23 ALL CHARLES DE FITTE En service : oui,FITTE -  CUGNAUX,72,18,oui,ALL CHARLES DE FITTE,FITTE (ALL CHARLES DE FITTE),23,3105551920,Toulouse,31555,8168
" 43.59778077938033,1.4316173508821712","{""coordinates"": [[1.431617350882171, 43.59778077938033]], ""type"": ""MultiPoint""}",77 - PLACE INT SAINT CYPRIEN Nombre bornettes : 13 adresse : 2 PL INTERIEURE ST CYPRIEN En service : oui,PLACE INT SAINT CYPRIEN,77,13,oui,PL INTERIEURE ST CYPRIEN,CYPRIEN (PL INTERIEURE ST CYPRIEN),2,3105554336,Toulouse,31555,22923
" 43.596622708308736,1.455607575263943","{""coordinates"": [[1.455607575263943, 43.596622708308736]], ""type"": ""MultiPoint""}",100 - SABATIER - PORT ST SAUVEUR Nombre bornettes : 19 adresse : 16 ALL PAUL SABATIER En service : oui,SABATIER - PORT ST SAUVEUR,100,19,oui,ALL PAUL SABATIER,SABATIER (ALL PAUL SABATIER),16,3105556644,Toulouse,31555,20947
" 43.608009934435806,1.4286028685577092","{""coordinates"": [[1.428602868557709, 43.608009934435806]], ""type"": ""MultiPoint""}",86 - HERACLES - BEARNAIS Nombre bornettes : 18 adresse : 23 RUE DU BEARNAIS En service : oui,HERACLES - BEARNAIS,86,18,oui,RUE DU BEARNAIS,BEARNAIS (RUE DU BEARNAIS),23,3105550948,Toulouse,31555,23761
" 43.60456722436907,1.4537172234681115","{""coordinates"": [[1.453717223468111, 43.60456722436907]], ""type"": ""MultiPoint""}",40 - COLOMBETTE Nombre bornettes : 17 adresse : 41 RUE DE LA COLOMBETTE En service : oui,COLOMBETTE,40,17,oui,RUE DE LA COLOMBETTE,COLOMBETTE (RUE DE LA COLOMBETTE),41,3105552192,Toulouse,31555,32715
" 43.60889618980381,1.4530070197966984","{""coordinates"": [[1.453007019796698, 43.60889618980381]], ""type"": ""MultiPoint""}",62 - JAURES  -  STALINGRAD Nombre bornettes : 23 adresse : 71T ALL JEAN JAURES En service : oui,JAURES  -  STALINGRAD,62,23,oui,ALL JEAN JAURES,JAURES (ALL JEAN JAURES),71T,3105554600,Toulouse,31555,9358
" 43.6062040231979,1.4549104737361618","{""coordinates"": [[1.454910473736162, 43.6062040231979]], ""type"": ""MultiPoint""}",64 - PERI -  MERCADIER Nombre bornettes : 18 adresse : 30 RUE GABRIEL PERI En service : oui,PERI -  MERCADIER,64,18,oui,RUE GABRIEL PERI,PERI (RUE GABRIEL PERI),30,3105553660,Toulouse,31555,18230
" 43.59264356975569,1.4339100837425496","{""coordinates"": [[1.43391008374255, 43.59264356975569]], ""type"": ""MultiPoint""}",70 - PLACE DU FER A CHEVAL Nombre bornettes : 18 adresse : 5 PL DU FER A CHEVAL En service : oui,PLACE DU FER A CHEVAL,70,18,oui,PL DU FER A CHEVAL,CHEVAL (PL DU FER A CHEVAL),5,3105553240,Toulouse,31555,18744
" 43.59691500140082,1.4262199584410356","{""coordinates"": [[1.426219958441036, 43.59691500140082]], ""type"": ""MultiPoint""}",117 - BILLIERES - POSTE Nombre bornettes : 17 adresse : 39 AV ETIENNE BILLIERES En service : oui,BILLIERES - POSTE,117,17,oui,AV ETIENNE BILLIERES,BILLIERES (AV ETIENNE BILLIERES),39,3105553116,Toulouse,31555,11507
" 43.61229308975385,1.4288301699175348","{""coordinates"": [[1.428830169917535, 43.61229308975385]], ""type"": ""MultiPoint""}",108 - SEBASTOPOL -  RITAY Nombre bornettes : 20 adresse : 9 RUE DE SEBASTOPOL En service : oui,SEBASTOPOL -  RITAY,108,20,oui,RUE DE SEBASTOPOL,SEBASTOPOL (RUE DE SEBASTOPOL),9,3105558204,Toulouse,31555,16641
" 43.58994543753398,1.432193516586127","{""coordinates"": [[1.432193516586127, 43.58994543753398]], ""type"": ""MultiPoint""}",104 - MURET -  BARTHERE Nombre bornettes : 20 adresse : 223B AV DE MURET En service : oui,MURET -  BARTHERE,104,20,oui,AV DE MURET,MURET (AV DE MURET),223B,3105556160,Toulouse,31555,15339
" 43.58734724816156,1.4179037735718245","{""coordinates"": [[1.417903773571825, 43.58734724816156]], ""type"": ""MultiPoint""}",141 - METRO FONTAINE LESTANG Nombre bornettes : 20 adresse : 239 RUE HENRI DESBALS En service : oui,METRO FONTAINE LESTANG,141,20,oui,RUE HENRI DESBALS,DESBALS (RUE HENRI DESBALS),239,3105554140,Toulouse,31555,4767
" 43.61560261908849,1.428363742120967","{""coordinates"": [[1.428363742120967, 43.61560261908849]], ""type"": ""MultiPoint""}",146 - SANG DE SERP DAGNAUX Nombre bornettes : 20 adresse : 57 CHE DU SANG DE SERP En service : oui,SANG DE SERP DAGNAUX,146,20,oui,CHE DU SANG DE SERP,SERP (CHE DU SANG DE SERP),57,3105558132,Toulouse,31555,12088
" 43.61970215459992,1.4291741517256908","{""coordinates"": [[1.429174151725691, 43.61970215459992]], ""type"": ""MultiPoint""}",147 - CHAUSSAS DAUDET Nombre bornettes : 19 adresse : 96 RUE DE CHAUSSAS En service : oui,CHAUSSAS DAUDET,147,19,oui,RUE DE CHAUSSAS,CHAUSSAS (RUE DE CHAUSSAS),96,3105551996,Toulouse,31555,12231
" 43.57955798312521,1.4419477974752992","{""coordinates"": [[1.441947797475299, 43.57955798312521]], ""type"": ""MultiPoint""}",156 - METRO EMPALOT Nombre bornettes : 20 adresse : 38 AV JEAN MOULIN En service : oui,METRO EMPALOT,156,20,oui,AV JEAN MOULIN,MOULIN (AV JEAN MOULIN),38,3105554616,Toulouse,31555,8377
" 43.580883896776264,1.4491600192470917","{""coordinates"": [[1.449160019247092, 43.580883896776264]], ""type"": ""MultiPoint""}",158 - URSS ST THOMAS D AQUIN Nombre bornettes : 20 adresse : 55 AV DE L URSS En service : oui,URSS ST THOMAS D AQUIN,158,20,oui,AV DE L URSS,URSS (AV DE L URSS),55,3105558660,Toulouse,31555,22045
" 43.64287197945313,1.4611041030735354","{""coordinates"": [[1.461104103073535, 43.64287197945313]], ""type"": ""MultiPoint""}",172 - RPT POINT LAFFORGUE Nombre bornettes : 20 adresse : 0 RPT DE L ABBE G. LAFFORGUE En service : oui,RPT POINT LAFFORGUE,172,20,oui,RPT DE L ABBE G. LAFFORGUE,LAFFORGUE (RPT DE L ABBE G. LAFFORGUE),0,3105550011,Toulouse,31555,2824
" 43.57924668939662,1.4108948752250177","{""coordinates"": [[1.410894875225018, 43.57924668939662]], ""type"": ""MultiPoint""}",186 - DESBALS BACHAGA BOUALAM Nombre bornettes : 18 adresse : 1 IMP DU BACHAGA BOUALAM En service : oui,DESBALS BACHAGA BOUALAM,186,18,oui,IMP DU BACHAGA BOUALAM,BOUALAM (IMP DU BACHAGA BOUALAM),1,3105550793,Toulouse,31555,3073
" 43.57730292488452,1.4239929017734698","{""coordinates"": [[1.42399290177347, 43.57730292488452]], ""type"": ""MultiPoint""}",190 - OUSTALOUS Nombre bornettes : 20 adresse : 39 RTE D ESPAGNE En service : oui,OUSTALOUS,190,20,oui,RTE D ESPAGNE,ESPAGNE (RTE D ESPAGNE),39,3105553064,Toulouse,31555,6108
" 43.59001813364908,1.415202098440147","{""coordinates"": [[1.415202098440147, 43.59001813364908]], ""type"": ""MultiPoint""}",191 - ST SIMON QUATORZE JUILLET Nombre bornettes : 20 adresse : 395 RTE DE SAINT SIMON En service : oui,ST SIMON QUATORZE JUILLET,191,20,oui,RTE DE SAINT SIMON,SIMON (RTE DE SAINT SIMON),395,3105557988,Toulouse,31555,8230
