Geo Point,Geo Shape,rue,motdir,id_seg_ges,commune,code_insee,codsti,nrivoli,pole,longueur,id_seg_obs,type,arrete,sensunique,doublesens_cyclable
"43.60885720922945,1.4420873279127275","{""coordinates"": [[[1.441537058711897, 43.60875643454241], [1.441618491545662, 43.6087099189586], [1.441804921409475, 43.60878382052883], [1.441991199353863, 43.60887679569664], [1.442121003018482, 43.60891509451425], [1.442281665342546, 43.60892681999419], [1.442495488717688, 43.608908014385754], [1.442576858099407, 43.60891640253216], [1.442661048451478, 43.608943391440924]]], ""type"": ""MultiLineString""}",PL SAINT SERNIN,SERNIN (PL SAINT SERNIN),3252,TOULOUSE,31555,3.15556E+11,3105557984,Centre,99,3252,Aire Pietonne,19/091,oui,oui
"43.60267949020076,1.4435275054262093","{""coordinates"": [[[1.443550158010346, 43.60242705411675], [1.443504852842072, 43.60293192628476]]], ""type"": ""MultiLineString""}",RUE SAINT ROME,ROME (RUE SAINT ROME),4637,TOULOUSE,31555,3.15556E+11,3105557972,Centre,56,4637,Aire Pietonne,11/096,oui,oui
"43.60312898488691,1.4452830030712782","{""coordinates"": [[[1.44511067207085, 43.60298526260875], [1.445455334071706, 43.603272707165075]]], ""type"": ""MultiLineString""}",RUE DE LA BARUTTE,BARUTTE (RUE DE LA BARUTTE),4687,TOULOUSE,31555,3.15551E+11,3105550890,Centre,42,4687,Aire Pietonne,11/107,oui,oui
"43.60456652696779,1.4504506127943984","{""coordinates"": [[[1.450399983744345, 43.604425159792086], [1.450501241844452, 43.604707894143495]]], ""type"": ""MultiLineString""}",IMP DE LA COLOMBETTE,COLOMBETTE (IMP DE LA COLOMBETTE),5444,TOULOUSE,31555,3.15552E+11,3105552184,Centre,32,5444,Aire Pietonne,11/150,,
"43.60200083910469,1.4426529939872337","{""coordinates"": [[[1.442716909221257, 43.601992828417025], [1.44258907875321, 43.602008849792355]]], ""type"": ""MultiLineString""}",RUE BEDELIERES,BEDELIERES (RUE BEDELIERES),8104,TOULOUSE,31555,3.15558E+11,3105550973,Centre,10,8104,Aire Pietonne,11/098,,
"43.60214707145916,1.448000408929321","{""coordinates"": [[[1.447870826291799, 43.6023711644709], [1.448129991566843, 43.60192297844742]]], ""type"": ""MultiLineString""}",PL SAINT GEORGES,GEORGES (PL SAINT GEORGES),4681,TOULOUSE,31555,3.15556E+11,3105557792,Centre,54,4681,Aire Pietonne,11/111,,
"43.60294904818536,1.4438164160379623","{""coordinates"": [[[1.443504841131576, 43.60293287137426], [1.444127990944349, 43.60296522499646]]], ""type"": ""MultiLineString""}",RUE BAOUR LORMIAN,LORMIAN (RUE BAOUR LORMIAN),4641,TOULOUSE,31555,3.15551E+11,3105550816,Centre,50,4641,Aire Pietonne,11/105,,
"43.60231914153469,1.4440596312696405","{""coordinates"": [[[1.443550158010346, 43.60242705411675], [1.443841052745535, 43.60238961390132], [1.444211150340365, 43.6022789875993], [1.444451713722739, 43.60221181781333], [1.444565285242564, 43.60219094828832]]], ""type"": ""MultiLineString""}",RUE JULES CHALANDE,CHALANDE (RUE JULES CHALANDE),4647,TOULOUSE,31555,3.15552E+11,3105554792,Centre,86,4647,Aire Pietonne,11/101,,
"43.60650924913291,1.4435267827052112","{""coordinates"": [[[1.442432542843583, 43.606554656661366], [1.442714682342526, 43.60658148585642], [1.443241943070181, 43.60658564390149], [1.443703760288632, 43.60652589309945], [1.444100876745065, 43.60643914484229], [1.444431376475062, 43.606366055594386], [1.444607870801757, 43.6063182514496]]], ""type"": ""MultiLineString""}",RUE MONTOYOL,MONTOYOL (RUE MONTOYOL),3307,TOULOUSE,31555,3.15555E+11,3105556084,Centre,180,3307,Aire Pietonne,11/115,oui,oui
"43.601976551433694,1.4456413077595198","{""coordinates"": [[[1.445645368015829, 43.60144249193816], [1.44563724750321, 43.60251061092924]]], ""type"": ""MultiLineString""}",RUE D ALSACE LORRAINE,LORRAINE (RUE D ALSACE LORRAINE),4661,TOULOUSE,31555,3.1555E+11,3105550224,Centre,119,4661,Aire Pietonne,13/107,oui,oui
"43.60275672371161,1.4456524614589727","{""coordinates"": [[[1.44563724750321, 43.60251061092924], [1.445667675414735, 43.60300283649397]]], ""type"": ""MultiLineString""}",RUE D ALSACE LORRAINE,LORRAINE (RUE D ALSACE LORRAINE),4685,TOULOUSE,31555,3.1555E+11,3105550224,Centre,55,4685,Aire Pietonne,13/107,oui,oui
"43.60306812565493,1.4456686515992576","{""coordinates"": [[[1.445667675414735, 43.60300283649397], [1.44566962778378, 43.60313341481589]]], ""type"": ""MultiLineString""}",RUE D ALSACE LORRAINE,LORRAINE (RUE D ALSACE LORRAINE),4686,TOULOUSE,31555,3.1555E+11,3105550224,Centre,15,4686,Aire Pietonne,13/107,oui,oui
"43.603601824190996,1.4456782710334624","{""coordinates"": [[[1.445677459535496, 43.60348165894693], [1.445679082531429, 43.60372198943506]]], ""type"": ""MultiLineString""}",RUE D ALSACE LORRAINE,LORRAINE (RUE D ALSACE LORRAINE),4691,TOULOUSE,31555,3.1555E+11,3105550224,Centre,27,4691,Aire Pietonne,13/107,oui,oui
"43.59977466430469,1.4438612411319838","{""coordinates"": [[[1.443911110854428, 43.599617056153875], [1.44381137140954, 43.5999322724555]]], ""type"": ""MultiLineString""}",RUE DES FILATIERS,FILATIERS (RUE DES FILATIERS),4828,TOULOUSE,31555,3.15553E+11,3105553300,Centre,36,4828,Aire Pietonne,11/114,oui,oui
"43.65466165699773,1.3920358387371767","{""coordinates"": [[[1.390980250068945, 43.65428022120116], [1.391250594917901, 43.654289436246515], [1.391463679478702, 43.65434156064749], [1.392127961395636, 43.65468960491253], [1.393049263682784, 43.65518358662287]]], ""type"": ""MultiLineString""}",CHE DU MOULIN DE NAUDIN,NAUDIN (CHE DU MOULIN DE NAUDIN),20786,BLAGNAC,31069,3.1069E+11,3100690711,Ouest,198,2078,Aire Pietonne,,oui,oui
"43.60320306099048,1.4455624809277432","{""coordinates"": [[[1.44566962778378, 43.60313341481589], [1.445455334071706, 43.603272707165075]]], ""type"": ""MultiLineString""}",RUE DE LA POMME,POMME (RUE DE LA POMME),4688,TOULOUSE,31555,3.15555E+11,3105556988,Centre,23,4688,Aire Pietonne,13/108,oui,oui
"43.602833616315046,1.4460089296831387","{""coordinates"": [[[1.446329818805597, 43.60251511472187], [1.446140465287979, 43.602728400768505], [1.44566962778378, 43.60313341481589]]], ""type"": ""MultiLineString""}",RUE DE LA POMME,POMME (RUE DE LA POMME),4701,TOULOUSE,31555,3.15555E+11,3105556988,Centre,87,4701,Aire Pietonne,13/108,oui,oui
"43.606556705275295,1.445693458144763","{""coordinates"": [[[1.445687368998226, 43.60613562906969], [1.4456995472913, 43.60697778148089]]], ""type"": ""MultiLineString""}",RUE D ALSACE LORRAINE,LORRAINE (RUE D ALSACE LORRAINE),3301,TOULOUSE,31555,3.1555E+11,3105550224,Centre,94,3301,Aire Pietonne,13/107,oui,oui
"43.60532998716352,1.445685702198134","{""coordinates"": [[[1.445678483723382, 43.6048970755092], [1.445692920672886, 43.605762898817844]]], ""type"": ""MultiLineString""}",RUE D ALSACE LORRAINE,LORRAINE (RUE D ALSACE LORRAINE),4623,TOULOUSE,31555,3.1555E+11,3105550224,Centre,96,4623,Aire Pietonne,13/107,oui,oui
"43.60537813992478,1.4439917238869526","{""coordinates"": [[[1.443707750343377, 43.604951562797204], [1.444275697430528, 43.605804717052365]]], ""type"": ""MultiLineString""}",RUE DE REMUSAT,REMUSAT (RUE DE REMUSAT),4621,TOULOUSE,31555,3.15556E+11,3105557392,Centre,105,4621,Aire Pietonne,13/112,oui,oui
"43.603950919043584,1.4460356670373389","{""coordinates"": [[[1.445679082531429, 43.60372198943506], [1.446392251543249, 43.6041798486521]]], ""type"": ""MultiLineString""}",RUE LAPEYROUSE,LAPEYROUSE (RUE LAPEYROUSE),4694,TOULOUSE,31555,3.15554E+11,3105555012,Centre,77,4694,Aire Pietonne,13/115,oui,oui
"43.605722856995015,1.442270876026734","{""coordinates"": [[[1.442656070515641, 43.605625421369275], [1.442337847551158, 43.605661698325406], [1.44222935186236, 43.60569018710474], [1.44217392029243, 43.605739889254956], [1.442045002475847, 43.6058278062141], [1.441917527884939, 43.60590721726129]]], ""type"": ""MultiLineString""}",RUE DES PENITENTS GRIS,GRIS (RUE DES PENITENTS GRIS),4618,TOULOUSE,31555,3.15555E+11,3105556724,Centre,70,4618,Aire Pietonne,13/116,oui,oui
"43.59291116923946,1.4450057558515415","{""coordinates"": [[[1.444523949864772, 43.59274200907198], [1.445487561838311, 43.59308032940694]]], ""type"": ""MultiLineString""}",ALL JULES GUESDE,GUESDE (ALL JULES GUESDE),4922,TOULOUSE,31555,3.15553E+11,3105554812,Centre,86,4922,Aire Pietonne,13/227,,
"43.593580527509374,1.447133973321359","{""coordinates"": [[[1.44644063128918, 43.59332908818162], [1.447827315353538, 43.59383196683713]]], ""type"": ""MultiLineString""}",ALL JULES GUESDE,GUESDE (ALL JULES GUESDE),5268,TOULOUSE,31555,3.15553E+11,3105554812,Centre,125,5268,Aire Pietonne,13/227,oui,oui
"43.59325159963008,1.4462074930784492","{""coordinates"": [[[1.445968782471716, 43.59319575691706], [1.446153206682855, 43.59322464959385], [1.44644063128918, 43.59332908818162]]], ""type"": ""MultiLineString""}",ALL JULES GUESDE,GUESDE (ALL JULES GUESDE),8127,TOULOUSE,31555,3.15553E+11,3105554812,Centre,41,8127,Aire Pietonne,13/227,oui,oui
"43.60782628819332,1.4416988546853877","{""coordinates"": [[[1.441465643771347, 43.60783420822429], [1.441636306293583, 43.60781807218542], [1.441932377509154, 43.607834675301476]]], ""type"": ""MultiLineString""}",PL SAINT SERNIN,SERNIN (PL SAINT SERNIN),7682,TOULOUSE,31555,3.15556E+11,3105557984,Centre,38,7682,Aire Pietonne,,,
"43.60809085778078,1.4412564716714407","{""coordinates"": [[[1.441047299571534, 43.60834750733728], [1.441465643771347, 43.60783420822429]]], ""type"": ""MultiLineString""}",PRV SAINT JEAN PAUL II,PAUL (PRV SAINT JEAN PAUL II),34120,TOULOUSE,31555,3.15559E+11,3105558037,Centre,66,3412,Aire Pietonne,,oui,oui
"43.61002906844118,1.4421025489528052","{""coordinates"": [[[1.441631328659911, 43.61006319724235], [1.4425737692457, 43.60999493964001]]], ""type"": ""MultiLineString""}",RUE SAINT CHARLES,CHARLES (RUE SAINT CHARLES),3241,TOULOUSE,31555,3.15556E+11,3105557728,Centre,76,3241,Aire Pietonne,17/196,oui,oui
"43.60963098142531,1.4391416746111538","{""coordinates"": [[[1.439127282446662, 43.60946245683346], [1.439156066775646, 43.60979950601717]]], ""type"": ""MultiLineString""}",RUE ARNAUD BERNARD,BERNARD (RUE ARNAUD BERNARD),3269,TOULOUSE,31555,3.1555E+11,3105550524,Centre,38,3269,Aire Pietonne,17/196,oui,oui
"43.610418503194765,1.4412171360205952","{""coordinates"": [[[1.441162022718507, 43.61009922597314], [1.441272249322683, 43.6107377804164]]], ""type"": ""MultiLineString""}",RUE PETRARQUE,PETRARQUE (RUE PETRARQUE),3223,TOULOUSE,31555,3.15555E+11,3105556796,Centre,72,3223,Aire Pietonne,17/196,oui,oui
"43.610469904323374,1.4396421140358306","{""coordinates"": [[[1.439704797123288, 43.61045762946603], [1.439579430948374, 43.610482179180714]]], ""type"": ""MultiLineString""}",PL ARNAUD BERNARD,BERNARD (PL ARNAUD BERNARD),8341,TOULOUSE,31555,3.1555E+11,3105550520,Centre,10,8341,Aire Pietonne,17/196,oui,oui
"43.5716544500561,1.4793331895865578","{""coordinates"": [[[1.480027020652776, 43.571251574947766], [1.47863935852034, 43.57205732516443]]], ""type"": ""MultiLineString""}",PL MARCEL BOUILLOUX LAFONT,LAFONT (PL MARCEL BOUILLOUX LAFONT),35169,Toulouse,31555,3.15559E+11,,,143,35169,Aire Pietonne,21/081,,
"43.60803255277716,1.4421744980802258","{""coordinates"": [[[1.442489265903999, 43.608181333856194], [1.441937274669796, 43.60793209262169], [1.441932288997836, 43.60783426000082]]], ""type"": ""MultiLineString""}",PL SAINT SERNIN,SERNIN (PL SAINT SERNIN),3249,TOULOUSE,31555,3.15556E+11,3105557984,Centre,63,3249,Aire Pietonne,19/091,oui,oui
"43.607697208186934,1.4419880504803142","{""coordinates"": [[[1.442043811962793, 43.60756015637304], [1.441932288997836, 43.60783426000082]]], ""type"": ""MultiLineString""}",RUE DU TAUR,TAUR (RUE DU TAUR),3247,TOULOUSE,31555,3.15557E+11,3105558408,Centre,32,3247,Aire Pietonne,19/091,oui,oui
"43.60616728922257,1.4470071439285057","{""coordinates"": [[[1.447043549053344, 43.60599585618434], [1.446970738803668, 43.60633872226079]]], ""type"": ""MultiLineString""}",PL VICTOR HUGO,HUGO (PL VICTOR HUGO),3328,TOULOUSE,31555,3.15553E+11,3105558840,Centre,39,3328,Aire Pietonne,18/206,oui,oui
"43.60192036368943,1.443546013062535","{""coordinates"": [[[1.443558423885702, 43.60178658473372], [1.443533602239367, 43.60205414264514]]], ""type"": ""MultiLineString""}",RUE SAINT ROME,ROME (RUE SAINT ROME),5115,TOULOUSE,31555,3.15556E+11,3105557972,Centre,30,5115,Aire Pietonne,11/096,oui,oui
"43.603051833396734,1.443473116868102","{""coordinates"": [[[1.443504852842072, 43.60293192628476], [1.443441380894132, 43.6031717405087]]], ""type"": ""MultiLineString""}",RUE SAINT ROME,ROME (RUE SAINT ROME),5132,TOULOUSE,31555,3.15556E+11,3105557972,Centre,27,5132,Aire Pietonne,11/096,oui,oui
"43.60304948400244,1.4427418986181662","{""coordinates"": [[[1.442032299414538, 43.603111364359854], [1.442307838028306, 43.603053987816565], [1.442570373078509, 43.602997407672675], [1.44271921558611, 43.602969255130326], [1.442827267409412, 43.602970107630306], [1.442920693214476, 43.60299070322564], [1.443066908155717, 43.6030514761114], [1.443157461171868, 43.60309097377082], [1.443271494625683, 43.60312688056077], [1.443441380894132, 43.6031717405087]]], ""type"": ""MultiLineString""}",RUE DES GESTES,GESTES (RUE DES GESTES),4609,TOULOUSE,31555,3.15553E+11,3105553884,Centre,121,4609,Aire Pietonne,11/102,,
"43.60256067322722,1.4479598358494161","{""coordinates"": [[[1.447870826291799, 43.6023711644709], [1.44799548002852, 43.602656925284485], [1.448076400800346, 43.602730408621525]]], ""type"": ""MultiLineString""}",RUE PAUL VIDAL,VIDAL (RUE PAUL VIDAL),4756,TOULOUSE,31555,3.15557E+11,3105556660,Centre,44,4756,Aire Pietonne,11/001,,
"43.60351131448671,1.4433699070755361","{""coordinates"": [[[1.443441380894132, 43.6031717405087], [1.443298433256941, 43.60385088846473]]], ""type"": ""MultiLineString""}",RUE SAINT ROME,ROME (RUE SAINT ROME),4635,TOULOUSE,31555,3.15556E+11,3105557972,Centre,76,4635,Aire Pietonne,11/096,oui,oui
"43.602036819202944,1.443124700723202","{""coordinates"": [[[1.443533602239367, 43.60205414264514], [1.443345982846509, 43.60206307610914], [1.443182117029509, 43.60205137170897], [1.442953437868199, 43.60202024016591], [1.442716909221257, 43.601992828417025]]], ""type"": ""MultiLineString""}",RUE BEDELIERES,BEDELIERES (RUE BEDELIERES),4611,TOULOUSE,31555,3.15558E+11,3105550973,Centre,66,4611,Aire Pietonne,11/098,,
"43.60181091556874,1.4439192656858266","{""coordinates"": [[[1.443558412176255, 43.60178752982361], [1.444129458060823, 43.601820424326], [1.444277386610211, 43.60185375260575]]], ""type"": ""MultiLineString""}",RUE DU PUITS VERT,VERT (RUE DU PUITS VERT),5137,TOULOUSE,31555,3.15556E+11,3105557188,Centre,59,5137,Aire Pietonne,11/100,,
"43.60178749004074,1.4478944444834432","{""coordinates"": [[[1.448130000031852, 43.6019226454742], [1.447658888935035, 43.60165233460729]]], ""type"": ""MultiLineString""}",PL SAINT GEORGES,GEORGES (PL SAINT GEORGES),4680,TOULOUSE,31555,3.15556E+11,3105557792,Centre,48,4680,Aire Pietonne,11/111,,
"43.60166804836854,1.4441838162150147","{""coordinates"": [[[1.444090245819818, 43.60148234413132], [1.444277386610211, 43.60185375260575]]], ""type"": ""MultiLineString""}",RUE DES PUITS CLOS,CLOS (RUE DES PUITS CLOS),4654,TOULOUSE,31555,3.15556E+11,3105557180,Centre,44,4654,Aire Pietonne,11/104,oui,oui
"43.60279180443958,1.4442253018759768","{""coordinates"": [[[1.444325404879928, 43.60264887467202], [1.444325167539054, 43.60275200243496], [1.444192382004174, 43.60275096246405], [1.444158236194496, 43.602858549111396], [1.444127990944349, 43.60296522499646]]], ""type"": ""MultiLineString""}",IMP BAOUR LORMIAN,LORMIAN (IMP BAOUR LORMIAN),4642,TOULOUSE,31555,3.15551E+11,3105550812,Centre,47,4642,Aire Pietonne,11/106,,
